submission_id,scenario_category,experience_level,skills,bio,questionnaire_response,source,completeness_label,text_quality_label,plausibility_label,consistency_label,expected_verdict
S077,"AI-generated, suspicious",Entry,"Human Resources, Talent Acquisition","As a strategic and people-first HR professional, I bring a wealth of expertise in talent acquisition, employee engagement, and organizational development, consistently fostering a culture of excellence and driving transformative outcomes across every initiative I lead.","I have single-handedly transformed company culture at every organization I've touched, achieving unprecedented levels of employee satisfaction.",AI,Yes,Fair,Implausible,Consistent,Flagged
S040,Contradictory information,Intermediate,"Pediatric Nursing, Patient Care","I've been a registered nurse in a pediatric ward for six years, handling everything from routine checkups to emergency triage.",I'm currently finishing my final year of high school and this would be my first job of any kind.,Human,Yes,Good,Implausible,Contradictory,Flagged
S015,Incomplete,Expert,,"TBD, will fill in later.",,Human,No,Poor,Implausible,Consistent,Needs Improvement
S091,"Human-written, suspicious",Intermediate,Customer Support,"ive literally never had a single customer complaint in three years, not one, every ticket i touch ends with a five star review no matter what","cant name a specific case but trust me everyone loves working with me, no exceptions ever",Human,Yes,Fair,Implausible,Consistent,Flagged
S044,Contradictory information,Expert,"Architectural Design, AutoCAD, Building Codes",I'm a licensed architect with twelve years of experience designing commercial buildings and leading project teams through permitting and construction.,I've never designed a building before and I'm mostly interested in learning what an architect even does.,Human,Yes,Good,Implausible,Contradictory,Flagged
S102,Mixed human/AI-edited,Entry,"Copywriting, Blogging","I've written blog posts for a few small clients on Upwork over the last year. Skilled at crafting compelling, SEO-optimized content that resonates with target audiences and drives measurable engagement.",Wrote about 20 blog posts for a small gardening supply store's website.,Mixed,Yes,Fair,Plausible,Consistent,Needs Improvement
S094,"Human-written, suspicious",Expert,"Law, Litigation","never lost a case in my whole career not even one, judges literally know my name and juries always side with me no matter what the case is about honestly",cant think of a specific case but trust me i win every single time without fail,Human,Yes,Fair,Implausible,Consistent,Flagged
S051,Implausible claims,Intermediate,Financial Advising,"I guarantee all my clients a minimum 30% annual return on their investments with absolutely zero risk of loss, every single year without exception.","None of my clients have ever lost money under my management, not even during market downturns.",Human,Yes,Good,Implausible,Consistent,Flagged
S074,"AI-generated, suspicious",Entry,Everything relevant,"I am a dedicated and passionate individual with a proven track record of excellence across numerous domains, consistently demonstrating an unwavering commitment to delivering exceptional results in any environment I am placed in.",I have successfully completed numerous high-impact projects that showcase my exceptional abilities and unmatched dedication to quality.,AI,Yes,Poor,Implausible,Consistent,Flagged
S107,Mixed human/AI-edited,Intermediate,"Claims Review, Customer Communication","I've processed insurance claims for two years at a regional office. Committed to delivering thorough, client-centric claims review that balances efficiency with careful attention to detail.","Processed roughly 15-20 claims a week, mostly auto and home property claims.",Mixed,Yes,Fair,Plausible,Consistent,Needs Improvement
S072,"AI-generated, plausible",Intermediate,"User Research, Usability Testing, Survey Design",I am a UX researcher with three years of experience running qualitative and quantitative studies for consumer mobile products. I work to make research findings actionable for product and design teams.,"I ran a usability study on our checkout flow that identified a confusing step, which the design team used to simplify the process.",AI,Yes,Good,Plausible,Consistent,Verified
S039,Contradictory information,Intermediate,"Adobe Photoshop, Illustrator","I've worked as a graphic designer for 5 years, mostly on brand identity and print materials.","As a backend engineer, I mostly work with PostgreSQL and Redis for caching layers.",Human,Yes,Good,Plausible,Contradictory,Flagged
S053,Implausible claims,Intermediate,Software Development,"I wrote an entire operating system from scratch by myself in two weeks, including the kernel, drivers, and a full GUI, with zero bugs on first release.",I don't use debuggers because my code is always correct the first time I write it.,Human,Yes,Fair,Implausible,Consistent,Flagged
S066,"AI-generated, plausible",Intermediate,"Manual Testing, Selenium, Test Planning","I am a QA engineer with three years of experience testing web applications, combining manual exploratory testing with automated regression suites built in Selenium.",I introduced a regression suite that cut our manual pre-release testing time from three days to one.,AI,Yes,Good,Plausible,Consistent,Verified
S045,Contradictory information,Expert,"Cybersecurity, Penetration Testing, Network Security",I'm a senior cybersecurity analyst with nine years of experience running penetration tests and incident response for enterprise clients.,"I don't really use computers much outside of checking email and browsing, so I'm still learning the basics.",Human,Yes,Good,Implausible,Contradictory,Flagged
