submission_id,scenario_category,experience_level,skills,bio,questionnaire_response,source,completeness_label,text_quality_label,plausibility_label,consistency_label,expected_verdict
S010,"Complete, genuine (human)",Intermediate,"Swift, iOS Development, Xcode","iOS developer with four years of experience building and maintaining consumer apps. I've shipped two apps to the App Store from scratch and currently maintain a codebase with around 200,000 monthly active users.","Rebuilt our app's onboarding flow in SwiftUI, reducing crash rate on first launch from 3% to under 0.5%.",Human,Yes,Good,Plausible,Consistent,Verified
S085,"Human-written, suspicious",Expert,Everything you need honestly,"look ive done it all, every framework, every language, trust me im the best hire youll ever make no cap, been coding since before i could walk basically",cant think of a specific project rn but trust me ive done way bigger stuff than youd expect,Human,Yes,Poor,Implausible,Consistent,Flagged
S096,"Human-written, suspicious",Intermediate,"Cooking, Restaurant Management","honestly im the best chef this city has ever seen, every dish i make gets perfect reviews, restaurants beg me to come work for them all the time no cap",cant think of a specific dish but trust me everything i cook is basically flawless every time,Human,Yes,Poor,Implausible,Consistent,Flagged
S115,Edge case - career changer,Entry,"SQL, Excel, basic Python","I spent nine years as a high school math teacher before deciding to move into data analysis. I completed a part-time data analytics certificate over the last year while still teaching, and built two small analysis projects using public datasets.","Analyzed five years of my school's attendance data in Python to identify seasonal absence patterns, which the administration used to adjust scheduling.",Human,Yes,Good,Plausible,Consistent,Verified
S093,"Human-written, suspicious",Intermediate,Photography,"literally every photo ive ever taken has been perfect first try, no edits needed ever, clients always say im better than photographers whove been doin it for 20 years","cant name a specific shoot but trust me theyre all amazing, every single one honestly",Human,Yes,Poor,Implausible,Consistent,Flagged
S031,Poor-quality writing,Entry,video editing,i edit videos for youtube n stuff been doin it for a bit now know premiere and after effects a little bit,edited some videos got decent views idk exact numbers,Human,Yes,Poor,Plausible,Consistent,Needs Improvement
S094,"Human-written, suspicious",Expert,"Law, Litigation","never lost a case in my whole career not even one, judges literally know my name and juries always side with me no matter what the case is about honestly",cant think of a specific case but trust me i win every single time without fail,Human,Yes,Fair,Implausible,Consistent,Flagged
S088,"Human-written, suspicious",Intermediate,"social media, marketing","everything i post goes viral no joke, i have like a golden touch for content, every brand i worked with blew up immediately after i started","cant remember exact numbers but trust me it was a lot of views, like a crazy amount honestly",Human,Yes,Poor,Implausible,Consistent,Flagged
S097,Mixed human/AI-edited,Intermediate,"Python, SQL, Tableau","I've been working as a data analyst for about three years now, mostly building dashboards and running ad-hoc queries for the marketing team. Leveraging a robust analytical toolkit, I consistently deliver actionable insights that drive strategic decision-making across the organization.",Built a Tableau dashboard that the marketing team still uses weekly to track campaign ROI.,Mixed,Yes,Fair,Plausible,Consistent,Needs Improvement
S110,Edge case - unusually long bio,Intermediate,"C++, Embedded Systems","I started programming when I was thirteen, teaching myself C from library books because my school didn't offer computer science classes. In university I focused on embedded systems, working on a robotics team that competed nationally for three years running. After graduating I joined a small hardware startup where I wrote firmware for battery management systems, which taught me a lot about the constraints of memory-limited environments. Two years ago I moved to a larger company working on industrial IoT sensors, where I currently maintain a C++ codebase running on several thousand deployed devices.","Rewrote our sensor firmware's power management logic, extending average battery life from 8 to 14 months across our device fleet.",Human,Yes,Good,Plausible,Consistent,Verified
S048,Contradictory information,Intermediate,"Accounting, QuickBooks, Tax Preparation","I've worked as a bookkeeper and tax preparer for a small accounting firm for four years, handling monthly close and individual tax returns during tax season.","My most recent role was as a line cook at a busy restaurant, mostly on the grill station.",Human,Yes,Good,Plausible,Contradictory,Flagged
S080,"AI-generated, suspicious",Entry,"Legal Consulting, Contract Review","As a meticulous and detail-oriented legal professional, I leverage a comprehensive understanding of regulatory frameworks to consistently deliver airtight, risk-mitigating solutions that empower organizations to navigate complex legal landscapes with total confidence.","I have reviewed and finalized every contract flawlessly, with zero errors or disputes across my entire career.",AI,Yes,Fair,Implausible,Consistent,Flagged
S089,"Human-written, suspicious",Expert,"Investing, Trading","ive never lost money on a single trade in my whole career, not once, i basically have a sixth sense for the market that nobody else has","every prediction ive made has come true so far, no exceptions, ask anyone who knows me",Human,Yes,Fair,Implausible,Consistent,Flagged
S033,Poor-quality writing,Entry,"driving, deliveries","i drive for a delivery app n stuff for like a year now, drop off packages n orders, pretty easy job honestly just drivin around all day",delivered alot of packages dont got exact numbers on me,Human,Yes,Poor,Plausible,Consistent,Needs Improvement
S017,Incomplete,Intermediate,,Data analyst with experience in reporting.,Not sure what to put here.,Human,No,Fair,Plausible,Consistent,Needs Improvement
S063,"AI-generated, plausible",Intermediate,"SQL, Python, Tableau","I am a data analyst with three years of experience turning raw operational data into clear, actionable reporting for non-technical stakeholders. I'm comfortable owning a metric from pipeline to dashboard.",I built a weekly retention dashboard in Tableau that replaced four separate manual spreadsheets the team had previously relied on.,AI,Yes,Good,Plausible,Consistent,Verified
S083,"AI-generated, suspicious",Entry,"Fitness Coaching, Nutrition","As a transformative and results-obsessed fitness coach, I leverage a holistic, science-backed methodology to consistently deliver unparalleled physical transformations that empower every client to achieve their ultimate fitness potential.","Every client I have ever coached has achieved dramatic, life-changing results within their first week, without exception.",AI,Yes,Fair,Implausible,Consistent,Flagged
S098,Mixed human/AI-edited,Entry,"Customer Support, Zendesk","I worked at a call center for a year answering customer questions about billing. As a highly motivated professional, I am committed to delivering world-class customer experiences at every touchpoint.","Handled about 40-60 support tickets a day, mostly billing disputes and account access issues.",Mixed,Yes,Fair,Plausible,Consistent,Needs Improvement
S052,Implausible claims,Entry,Digital Marketing,"Every single campaign I have ever run has gone viral, reaching over 50 million people, with a guaranteed 500% return on ad spend every time.","I have literally never had a campaign underperform, not even once in my career.",Human,Yes,Fair,Implausible,Consistent,Flagged
S069,"AI-generated, plausible",Intermediate,"Technical Writing, API Documentation, Markdown",I am a technical writer with three years of experience producing developer-facing documentation for SaaS APIs. I work closely with engineering teams to keep docs accurate as products evolve.,"I rewrote our API reference docs, which our support team says cut related support tickets noticeably.",AI,Yes,Good,Plausible,Consistent,Verified
S009,"Complete, genuine (human)",Intermediate,"Inventory Management, Forklift Certified, WMS Software","I've worked in warehouse operations for five years, the last two as a shift lead coordinating a team of eight. I'm comfortable with our WMS software and have helped train new hires on safety procedures.","Reorganized our pick paths in the warehouse, cutting average order fulfillment time by about 15%.",Human,Yes,Good,Plausible,Consistent,Verified
S062,"AI-generated, plausible",Expert,"Project Management, Agile, Stakeholder Communication",I bring over a decade of experience managing cross-functional engineering teams in fast-paced product environments. My focus is on translating business goals into actionable sprint plans while maintaining transparent communication with stakeholders.,"I recently coordinated a multi-team launch involving five engineering squads, delivering the release two weeks ahead of the original schedule.",AI,Yes,Good,Plausible,Consistent,Verified
S099,Mixed human/AI-edited,Intermediate,"Figma, UI Design","I've designed mobile app interfaces for two years at a small startup. Passionate about crafting intuitive, user-centric experiences that seamlessly blend aesthetics with functionality to drive meaningful engagement.","Redesigned our app's checkout flow, which our team believes helped reduce cart abandonment, though we never formally measured it.",Mixed,Yes,Fair,Plausible,Consistent,Needs Improvement
S109,Edge case - very short but genuine,Entry,Python,Recent CS grad. Built a few small Python scripts and a Flask API for a class project. Looking for my first role.,Built a to-do list API with Flask and SQLite for my final year project.,Human,Yes,Fair,Plausible,Consistent,Verified
